Time [s],HR,PULSE,RESP,SpO2
0,98,98.0,10,99.0
1,98,98.0,10,99.0
2,98,97.0,10,99.0
3,98,97.0,10,99.0
4,98,97.0,10,99.0
5,98,97.0,10,99.0
6,98,97.0,10,99.0
7,98,97.0,10,99.0
8,98,97.0,10,100.0
9,98,97.0,10,100.0
10,98,97.0,10,100.0
11,98,97.0,10,100.0
12,98,97.0,10,100.0
13,98,97.0,10,100.0
14,98,97.0,10,100.0
15,98,97.0,11,100.0
16,98,97.0,11,99.0
17,98,98.0,11,99.0
18,98,98.0,11,99.0
19,98,98.0,11,99.0
20,99,98.0,11,99.0
21,99,98.0,11,99.0
22,99,97.0,10,99.0
23,99,98.0,10,99.0
24,98,98.0,10,99.0
25,98,98.0,10,99.0
26,98,98.0,12,99.0
27,98,98.0,12,99.0
28,98,98.0,12,99.0
29,98,98.0,12,99.0
30,98,98.0,12,99.0
31,98,97.0,12,99.0
32,98,97.0,12,99.0
33,98,97.0,12,99.0
34,97,97.0,12,99.0
35,97,97.0,12,99.0
36,97,98.0,12,99.0
37,97,98.0,12,99.0
38,97,98.0,12,100.0
39,97,97.0,12,100.0
40,98,97.0,12,100.0
41,98,97.0,12,100.0
42,98,97.0,12,100.0
43,98,97.0,12,99.0
44,98,97.0,12,99.0
45,98,97.0,12,99.0
46,98,97.0,12,99.0
47,98,97.0,12,99.0
48,98,97.0,12,99.0
49,98,97.0,12,99.0
50,99,98.0,12,99.0
51,99,98.0,12,99.0
52,99,98.0,12,99.0
53,99,98.0,12,100.0
54,99,98.0,11,100.0
55,99,98.0,11,100.0
56,98,98.0,11,100.0
57,98,98.0,11,100.0
58,98,98.0,11,100.0
59,98,98.0,11,100.0
60,98,98.0,11,100.0
61,98,98.0,11,100.0
62,98,98.0,10,100.0
63,98,98.0,10,100.0
64,97,98.0,10,100.0
65,97,98.0,11,100.0
66,97,98.0,11,100.0
67,97,98.0,11,100.0
68,98,98.0,11,100.0
69,98,97.0,11,100.0
70,98,97.0,11,100.0
71,98,97.0,11,100.0
72,98,97.0,10,100.0
73,98,97.0,10,100.0
74,98,97.0,10,100.0
75,98,97.0,10,100.0
76,98,97.0,10,100.0
77,98,98.0,11,100.0
78,98,98.0,11,100.0
79,98,98.0,11,100.0
80,98,98.0,11,100.0
81,99,98.0,11,100.0
82,99,98.0,10,100.0
83,99,97.0,10,99.0
84,99,98.0,10,99.0
85,99,98.0,10,99.0
86,98,98.0,11,99.0
87,98,98.0,11,99.0
88,98,98.0,11,99.0
89,98,98.0,11,99.0
90,98,99.0,11,99.0
91,98,99.0,11,99.0
92,97,98.0,10,100.0
93,97,98.0,10,100.0
94,97,98.0,10,100.0
95,97,98.0,10,100.0
96,97,98.0,12,100.0
97,97,97.0,12,100.0
98,97,97.0,12,100.0
99,97,97.0,12,100.0
100,97,97.0,12,100.0
101,97,97.0,12,100.0
102,97,97.0,12,100.0
103,97,97.0,12,100.0
104,97,97.0,12,100.0
105,98,97.0,12,100.0
106,98,97.0,12,100.0
107,98,97.0,12,100.0
108,98,97.0,12,100.0
109,98,97.0,12,100.0
110,98,97.0,11,100.0
111,98,97.0,11,100.0
112,98,97.0,11,100.0
113,97,97.0,12,100.0
114,98,98.0,12,100.0
115,98,98.0,12,100.0
116,98,98.0,12,100.0
117,98,97.0,12,100.0
118,98,97.0,12,100.0
119,98,97.0,12,100.0
120,98,97.0,11,100.0
121,98,97.0,11,100.0
122,98,97.0,11,100.0
123,99,97.0,11,100.0
124,99,97.0,12,100.0
125,99,97.0,12,100.0
126,99,97.0,12,99.0
127,99,97.0,12,99.0
128,99,97.0,12,99.0
129,99,97.0,12,99.0
130,98,97.0,12,99.0
131,98,97.0,11,99.0
132,98,97.0,10,99.0
133,98,97.0,10,99.0
134,98,97.0,10,99.0
135,98,97.0,10,98.0
136,98,97.0,10,98.0
137,97,97.0,10,97.0
138,97,97.0,10,96.0
139,97,,10,
140,97,,10,
141,97,,10,
142,96,,10,
143,96,,10,
144,96,,10,
145,97,98.0,10,97.0
146,97,98.0,10,98.0
147,97,98.0,10,98.0
148,98,98.0,10,99.0
149,98,97.0,10,99.0
150,98,97.0,10,99.0
151,98,97.0,10,99.0
152,98,97.0,10,99.0
153,98,97.0,10,99.0
154,98,97.0,11,99.0
155,98,97.0,11,99.0
156,98,98.0,11,99.0
157,98,98.0,11,99.0
158,98,98.0,11,99.0
159,98,98.0,11,99.0
160,98,98.0,11,99.0
161,98,98.0,10,99.0
162,98,98.0,9,99.0
163,99,98.0,8,99.0
164,99,98.0,7,99.0
165,99,98.0,6,99.0
166,98,98.0,5,99.0
167,98,98.0,4,99.0
168,98,98.0,3,99.0
169,98,98.0,9,99.0
170,98,98.0,9,99.0
171,98,98.0,9,99.0
172,97,98.0,9,100.0
173,97,98.0,9,100.0
174,97,98.0,9,100.0
175,97,98.0,9,100.0
176,98,98.0,9,100.0
177,98,98.0,9,100.0
178,98,98.0,9,100.0
179,98,97.0,9,99.0
180,98,97.0,9,99.0
181,99,97.0,9,99.0
182,99,97.0,9,99.0
183,98,97.0,9,99.0
184,98,97.0,9,99.0
185,98,97.0,9,99.0
186,98,97.0,9,99.0
187,98,98.0,9,99.0
188,97,98.0,10,99.0
189,98,98.0,10,99.0
190,98,98.0,10,99.0
191,98,98.0,10,99.0
192,98,98.0,10,99.0
193,98,97.0,10,99.0
194,98,97.0,10,98.0
195,98,97.0,10,98.0
196,99,97.0,10,98.0
197,99,97.0,10,99.0
198,99,97.0,10,99.0
199,99,98.0,10,99.0
200,99,98.0,10,99.0
201,99,98.0,10,99.0
202,99,98.0,10,99.0
203,99,98.0,9,99.0
204,99,98.0,9,99.0
205,99,98.0,9,99.0
206,98,99.0,9,99.0
207,98,99.0,9,99.0
208,98,99.0,9,99.0
209,98,99.0,9,99.0
210,98,99.0,9,99.0
211,98,99.0,9,99.0
212,98,98.0,9,99.0
213,98,98.0,11,99.0
214,98,98.0,11,99.0
215,98,98.0,11,99.0
216,98,98.0,11,99.0
217,98,98.0,11,99.0
218,98,98.0,11,99.0
219,98,98.0,11,99.0
220,98,98.0,11,99.0
221,98,98.0,11,99.0
222,98,98.0,11,99.0
223,98,98.0,11,99.0
224,98,98.0,11,99.0
225,98,98.0,11,99.0
226,98,98.0,11,99.0
227,98,98.0,11,99.0
228,98,98.0,11,99.0
229,97,98.0,11,100.0
230,97,97.0,11,100.0
231,98,97.0,11,100.0
232,98,97.0,11,100.0
233,99,97.0,10,100.0
234,99,97.0,10,100.0
235,100,97.0,10,100.0
236,100,97.0,10,100.0
237,101,97.0,10,99.0
238,101,97.0,10,99.0
239,101,98.0,10,99.0
240,100,98.0,10,99.0
241,100,99.0,10,99.0
242,100,100.0,9,99.0
243,99,100.0,9,99.0
244,99,101.0,9,99.0
245,99,101.0,10,99.0
246,98,101.0,10,99.0
247,98,101.0,10,99.0
248,98,101.0,10,99.0
249,98,100.0,10,99.0
250,98,100.0,10,99.0
251,98,99.0,10,99.0
252,98,99.0,10,99.0
253,98,98.0,10,99.0
254,97,98.0,10,99.0
255,97,98.0,10,99.0
256,97,98.0,10,99.0
257,97,98.0,10,99.0
258,97,98.0,10,99.0
259,97,97.0,10,99.0
260,97,97.0,10,99.0
261,98,97.0,10,99.0
262,98,97.0,10,99.0
263,99,97.0,10,99.0
264,99,97.0,10,99.0
265,99,97.0,11,99.0
266,100,97.0,11,99.0
267,100,97.0,11,99.0
268,101,97.0,11,99.0
269,101,98.0,11,99.0
270,101,98.0,11,99.0
271,101,98.0,11,99.0
272,101,99.0,11,99.0
273,100,99.0,12,99.0
274,100,100.0,12,99.0
275,100,101.0,12,99.0
276,100,101.0,12,99.0
277,100,101.0,12,99.0
278,100,101.0,13,99.0
279,100,101.0,13,99.0
280,100,100.0,13,99.0
281,99,100.0,14,99.0
282,99,100.0,14,99.0
283,99,100.0,14,99.0
284,98,100.0,14,99.0
285,98,100.0,14,99.0
286,98,99.0,14,99.0
287,98,99.0,14,100.0
288,97,99.0,14,100.0
289,97,99.0,14,100.0
290,98,98.0,14,100.0
291,98,98.0,14,100.0
292,98,98.0,14,100.0
293,98,98.0,14,100.0
294,98,97.0,14,100.0
295,98,97.0,14,100.0
296,98,97.0,14,100.0
297,98,97.0,14,100.0
298,98,97.0,13,100.0
299,98,97.0,13,100.0
300,98,98.0,13,100.0
301,97,98.0,13,100.0
302,98,98.0,12,100.0
303,97,98.0,12,100.0
304,97,98.0,12,100.0
305,97,98.0,12,100.0
306,98,97.0,12,99.0
307,98,97.0,12,99.0
308,98,97.0,12,99.0
309,98,97.0,12,99.0
310,98,97.0,12,100.0
311,98,97.0,12,100.0
312,98,97.0,11,100.0
313,98,97.0,11,100.0
314,98,97.0,11,100.0
315,98,97.0,11,100.0
316,98,97.0,11,100.0
317,98,98.0,11,100.0
318,98,98.0,12,100.0
319,98,98.0,12,100.0
320,98,98.0,12,100.0
321,98,98.0,12,100.0
322,98,98.0,12,100.0
323,99,98.0,11,100.0
324,99,98.0,10,100.0
325,99,97.0,11,100.0
326,99,98.0,11,100.0
327,99,98.0,11,100.0
328,99,98.0,12,100.0
329,99,98.0,12,99.0
330,99,98.0,12,99.0
331,99,98.0,12,99.0
332,99,99.0,12,99.0
333,99,99.0,12,99.0
334,99,99.0,11,99.0
335,99,99.0,11,99.0
336,99,99.0,11,99.0
337,99,99.0,11,99.0
338,98,99.0,12,99.0
339,98,99.0,12,99.0
340,98,98.0,12,99.0
341,98,98.0,13,99.0
342,98,98.0,13,99.0
343,98,98.0,13,99.0
344,98,98.0,15,99.0
345,98,98.0,15,99.0
346,98,98.0,15,99.0
347,98,98.0,15,99.0
348,98,98.0,15,99.0
349,98,98.0,15,99.0
350,98,98.0,15,99.0
351,98,97.0,15,99.0
352,98,97.0,15,99.0
353,98,97.0,15,99.0
354,98,97.0,15,99.0
355,98,97.0,13,99.0
356,98,97.0,13,99.0
357,98,97.0,13,100.0
358,98,98.0,15,100.0
359,98,98.0,15,100.0
360,98,98.0,15,100.0
361,98,98.0,15,100.0
362,99,98.0,15,100.0
363,99,98.0,14,100.0
364,99,98.0,14,100.0
365,99,98.0,14,100.0
366,99,98.0,14,100.0
367,99,98.0,14,100.0
368,99,98.0,14,100.0
369,98,98.0,14,100.0
370,98,98.0,14,99.0
371,97,99.0,14,99.0
372,97,99.0,14,99.0
373,97,99.0,14,99.0
374,96,98.0,14,99.0
375,96,98.0,14,99.0
376,96,98.0,14,100.0
377,96,98.0,12,100.0
378,97,97.0,12,100.0
379,97,97.0,12,100.0
380,97,97.0,12,100.0
381,97,96.0,12,100.0
382,97,96.0,12,100.0
383,97,96.0,12,100.0
384,97,96.0,12,100.0
385,97,96.0,12,100.0
386,97,96.0,11,100.0
387,97,96.0,11,100.0
388,97,96.0,11,100.0
389,97,97.0,11,100.0
390,97,97.0,11,100.0
391,97,97.0,11,100.0
392,98,97.0,11,100.0
393,98,97.0,11,100.0
394,98,97.0,11,100.0
395,98,97.0,12,100.0
396,98,97.0,12,100.0
397,98,97.0,12,100.0
398,98,97.0,12,99.0
399,97,97.0,12,99.0
400,97,97.0,12,99.0
401,97,97.0,13,99.0
402,97,97.0,13,99.0
403,97,97.0,13,99.0
404,97,97.0,13,99.0
405,98,97.0,13,99.0
406,98,97.0,13,99.0
407,98,97.0,13,99.0
408,98,97.0,13,99.0
409,99,97.0,15,99.0
410,99,97.0,15,100.0
411,99,97.0,15,100.0
412,99,97.0,15,100.0
413,99,97.0,15,100.0
414,99,98.0,15,99.0
415,99,98.0,14,99.0
416,99,98.0,14,99.0
417,99,98.0,14,99.0
418,99,99.0,15,99.0
419,99,99.0,15,99.0
420,99,99.0,15,99.0
421,99,99.0,15,99.0
422,99,99.0,15,99.0
423,99,99.0,15,99.0
424,99,99.0,15,99.0
425,99,99.0,14,99.0
426,99,99.0,14,99.0
427,99,99.0,14,100.0
428,99,99.0,14,100.0
429,99,99.0,14,100.0
430,98,99.0,14,100.0
431,98,99.0,14,100.0
432,98,99.0,14,100.0
433,98,99.0,14,100.0
434,98,99.0,14,100.0
435,98,99.0,14,100.0
436,98,98.0,14,100.0
437,98,98.0,14,100.0
438,98,98.0,12,100.0
439,98,98.0,12,100.0
440,99,98.0,12,99.0
441,99,98.0,12,99.0
442,99,98.0,12,99.0
443,99,98.0,12,99.0
444,99,98.0,12,99.0
445,99,98.0,12,99.0
446,99,98.0,12,99.0
447,99,98.0,12,99.0
448,99,98.0,12,99.0
449,99,98.0,12,99.0
450,99,99.0,12,99.0
451,99,99.0,12,99.0
452,99,99.0,12,99.0
453,99,99.0,12,99.0
454,99,99.0,12,99.0
455,99,99.0,12,100.0
456,98,99.0,12,100.0
457,99,99.0,12,99.0
458,99,99.0,12,99.0
459,99,99.0,12,99.0
460,99,98.0,12,99.0
461,99,98.0,11,99.0
462,99,98.0,11,99.0
463,99,98.0,11,99.0
464,99,98.0,11,99.0
465,99,98.0,11,99.0
466,99,98.0,11,99.0
467,99,98.0,11,99.0
468,99,98.0,11,99.0
469,99,98.0,11,99.0
470,99,99.0,11,99.0
471,100,99.0,11,100.0
472,100,99.0,11,100.0
473,100,99.0,11,100.0
474,100,99.0,11,100.0
475,100,99.0,11,100.0
476,99,99.0,10,100.0
477,99,99.0,10,100.0
478,99,99.0,10,100.0
479,99,99.0,10,100.0
480,99,100.0,10,100.0
